% Model:              AluminaWithRodsOriginalParts.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 9 2026, 17:19
% Dimension:          1
% Nodes:              1000
% Expressions:        5
% Description:        Electric field norm, Electric potential, Electric field, x component, Electric field, y component, Electric field, z component
% cln2x                   es.normE (V/m)           V (V)                    es.Ex (V/m)              es.Ey (V/m)              es.Ez (V/m)
39.2375                   3.7183781545716164       -0.935200660319594       -1.7868066938008553      3.2152941525955896       0.5436372427165761
39.4525                   3.5318933647403083       -0.935310783424958       -1.8112091899756706      2.9937699041227006       0.4807637374152183
39.6675                   3.3510369266392135       -0.9354073887266824      -1.8356116861503438      2.7722456556502664       0.4178902321137752
39.8825                   3.1767702673946143       -0.9354904762247671      -1.8600141823251306      2.550721407177832        0.35501672681236407
40.0975                   3.01023807766152         -0.9355600459192117      -1.8844166785000027      2.3291971587050284       0.29214322151089256
40.3125                   2.8527951803286133       -0.9356160978100168      -1.908819174674818       2.107672910232793        0.2292697162094086
40.5275                   2.7060285478736166       -0.9356586318971819      -1.933221670849548       1.8861486617602736       0.16639621090819823
40.7425                   2.5717666626673643       -0.9356876481807073      -1.9576241670243064      1.6646244132877257       0.10352270560663612
40.9575                   2.452064464243828        -0.9357031466605926      -1.9820266631991217      1.4431001648152062       0.040649200305182376
41.1725                   2.349148699147664        -0.9357051273368384      -2.006429159373795       1.221575916342971        -0.02222430499610617
41.3875                   6.862471881641608        -0.9353623348209722      -4.228154223573071       4.996208773872027        -2.062554260107376
41.6025                   6.794371895252973        -0.9349261830332303      -4.226088838953345       4.932032795479692        -1.9946716723787432
41.8175                   6.726880429377945        -0.9345046260018495      -4.2240234543334765      4.867856817087194        -1.9267890846500109
42.0325                   6.6600159839717366       -0.9340976637268305      -4.221958069713409       4.8036808386949446       -1.8589064969212075
42.2475                   6.593797633976902        -0.9337052962081732      -4.219892685093708       4.739504860302681        -1.7910239091925249
42.4625                   6.5282450401606384       -0.9333275234458774      -4.217827300473655       4.675328881910335        -1.7231413214638422
42.6775                   6.4633784591644          -0.9329643454399437      -4.215761915853724       4.611152903517855        -1.6552587337351738
42.892500000000005        6.399218752618717        -0.9326157621903716      -4.213696531234017       4.546976925125415        -1.5873761460065108
43.1075                   6.335787395170897        -0.9322817736971606      -4.211631146613882       4.482800946733021        -1.5194935582778202
43.322500000000005        6.273106481259325        -0.931962379960312       -4.209565761994169       4.4186249683408825       -1.4516109705491793
43.5375                   6.211198730445664        -0.9316575809798252      -4.207500377374288       4.354448989948338        -1.3837283828204718
43.7525                   6.150087491120081        -0.9313673767556991      -4.205434992754558       4.290273011556081        -1.3158457950917608
43.967499999999994        6.089796742358128        -0.9310917672879353      -4.2033696081345795      4.226097033163626        -1.2479632073630285
44.1825                   6.030351093718126        -0.9308307525765328      -4.201304223514633       4.1619210547713195       -1.1800806196343956
44.3975                   5.971775782733835        -0.9305843326214925      -4.199238838894871       4.097745076378985        -1.11219803190572
44.6125                   5.914096669859912        -0.9303525074228135      -4.197173454274861       4.033569097986529        -1.0443154441770304
44.8275                   5.857340230609613        -0.9301352769804965      -4.19510806965495        3.9693931195942156       -0.9764328564483549
45.0425                   5.801533544611582        -0.9299326412945408      -4.193042685035138       3.9052171412017884       -0.9085502687196083
45.2575                   5.746704281312491        -0.9297446003649469      -4.190977300415284       3.8410411628094323       -0.840667680990947
45.4725                   5.692880682038187        -0.9295711541917149      -4.188911915795401       3.7768651844171615       -0.7727850932622857
45.6875                   5.640091538127447        -0.9294123027748444      -4.186846531175519       3.712689206024777        -0.7049025055335392
45.902499999999996        5.588366164851451        -0.9292680461143352      -4.184781146555665       3.6485132276324066       -0.6370199178048779
46.1175                   5.537734370834507        -0.9291383842101881      -4.18271576193581        3.584337249240008        -0.5691373300761029
46.332499999999996        5.4882264227027635       -0.9290233170624022      -4.180650377315814       3.5201612708476944       -0.5012547423474984
46.5475                   5.4398730046985975       -0.9289228446709787      -4.178584992695846       3.4559852924552104       -0.43337215461872347
46.7625                   5.392705173019741        -0.9288369670359164      -4.176519608076049       3.3918093140630106       -0.36548956689017587
46.9775                   5.346754304663884        -0.928765684157216       -4.174454223456138       3.3276333356704697       -0.29760697916145773
47.1925                   5.30205204060068         -0.9287089960348772      -4.172388838836241       3.2634573572782415       -0.22972439143268275
47.4075                   5.2586302231188595       -0.9286669026689001      -4.170323454216401       3.1992813788858143       -0.16184180370402146
47.6225                   11.863775727995916       -0.9271997739021931      -8.034015570429773       -5.058773524387618       -7.114251806566301
47.8375                   7.988099842960312        -0.9264829463095323      2.428378714899111        -7.501680357797369       1.2796514086127715
48.0525                   2.677011912498093        -0.9299631110712012      2.539496208066339        0.7925569869604487       0.29867241468464556
48.2675                   2.515801401774769        -0.930031251647299       0.7833992480948382       1.8608180105008998       1.5009659033608358
48.4825                   2.7253295450781283       -0.9302852648215933      -0.2560523546540736      2.572723283579222        0.8619473458867475
48.6975                   2.615808155995914        -0.9305230169915398      -0.661151849425309       2.2710326369750504       1.1170234119168612
48.9125                   2.5605677176798642       -0.9307426718139838      -0.4085381342320744      2.3519383630600714       0.9262772619840973
49.127500000000005        2.54637954816969         -0.9309213162141927      -0.155924419038854       2.4328440891452345       0.7355311120512624
49.3425                   2.573922611212607        -0.9310589501921657      0.09668929615440902      2.513749815230298        0.5447849621183849
49.557500000000005        2.641892021326467        -0.9311555737479036      0.3493030113476152       2.5946555413152907       0.35403881218559974
49.7725                   2.7472889063308044       -0.9312111868814057      0.6019167265408996       2.6755612674003615       0.16329266225267247
49.987500000000004        2.8860156368271244       -0.9312257895926722      0.8545304417340738       2.756466993485436        -0.02745348768014111
50.2025                   3.0535329072790796       -0.9311993818817031      1.1071441569272693       2.8373727195706167       -0.21819963761307193
50.4175                   3.245385526300984        -0.9311319637484986      1.3597578721206562       2.918278445655639        -0.40894578754588773
50.6325                   3.4575248735871953       -0.9310235351930585      1.6123715873139686       2.9991841717406853       -0.5996919374786707
50.8475                   3.6864503695678152       -0.9308740962153829      1.8649853025071277       3.0800898978257827       -0.790438087411431
51.0625                   3.9292291154579635       -0.9306836468154717      2.1175990177004387       3.160995623910871        -0.9811842373443582
51.277499999999996        4.183449963236007        -0.9304521869933248      2.3702127328935063       3.2419013499959277       -1.1719303872770865
51.4925                   4.447151086560986        -0.9301797167489428      2.6228264480869328       3.322807076080963        -1.362676537209957
51.707499999999996        4.718743372674936        -0.9298662360823244      2.8754401632800395       3.4037128021660976       -1.5534226871429127
51.9225                   4.524498994015783        -0.9296154770533747      2.9172008895378596       3.4136695266215327       -0.5548787975268823
52.137499999999996        4.271010551172904        -0.9294855609858342      2.669153973922832        3.26954115018124         -0.6536427609893352
52.3525                   4.024435398046688        -0.9293344106661493      2.4211070583078396       3.1254127737409476       -0.7524067244516601
52.567499999999995        3.786124480430104        -0.9291620260943205      2.173060142692769        2.981284397300591        -0.8511706879141556
52.7825                   3.557738896126879        -0.9289684072703461      1.9250132270777875       2.837156020860313        -0.9499346513764735
52.9975                   3.341314515001064        -0.9287535541942283      1.6769663114628273       2.6930276444200345       -1.048698614838905
53.2125                   3.1393261198447493       -0.9285174668659657      1.4289193958478723       2.5488992679797278       -1.1474625783012051
53.4275                   2.9547357663186684       -0.9282601452855588      1.1808724802328276       2.4047708915394086       -1.2462265417636935
