% Model:              AluminaWithRodsOriginalRotated.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 9 2026, 17:50
% Dimension:          3
% Nodes:              527
% Expressions:        4
% Description:        Electric potential, Electric field, x component, Electric field, y component, Electric field, z component
% Length unit:        mm
% X                       Y                        Z                        V (V)                    es.Ex (V/m)              es.Ey (V/m)              es.Ez (V/m)
0                         0                        209.93866930782227       0.9997639550876202       1.5191174944106933E-4    0.001145302119397229     -0.017855496143454275
0                         0                        207.2323755752791        0.9996799577223305       2.0241541332666202E-4    -4.228909353969357E-4    -0.046487301042958507
0                         0                        207.8036678012059        0.9997048312468737       3.894467727434403E-4     4.6210088319753595E-4    -0.039421935463906266
0                         0                        209.19254919085446       0.9997489625026766       4.590816178762225E-4     0.0010157866406359517    -0.02397779562684832
0                         0                        209.20383927588765       0.9997492324537629       4.6996000256882553E-4    0.0010298446806444872    -0.023843117220309296
0                         0                        209.18313668367736       0.9997487362830804       4.500123437196635E-4     0.001004066498666134     -0.02409007657637119
0                         0                        209.34448134979868       0.9997524678211475       6.054734729730171E-4     0.0012049675339227406    -0.022165410599882307
0                         0                        208.23612273355397       0.9997208498640324       2.762875626558525E-4     5.420254792625201E-4     -0.034660314318500696
0                         0                        208.66348054116767       0.9997346567542407       1.6446210236864545E-4    6.210080451296562E-4     -0.029954815962327075
0                         0                        209.09875027683944       0.9997466521391443       5.0566350908720636E-5    7.014528615894022E-4     -0.02516220192989671
0                         0                        208.92851433494647       0.9997422090817851       9.511148888030618E-5     6.6999053375838E-4       -0.027036614729823327
0                         0                        208.83765519751552       0.999739707109619        1.1888633241241564E-4    6.531983105020345E-4     -0.028037035253603904
0                         0                        207.89819139692102       0.9997085083613647       3.6471306152918714E-4    4.7957035729950803E-4    -0.0383811667769578
0                         0                        208.09397155889755       0.9997158116135131       3.134838425609132E-4     5.157536660078677E-4     -0.036225494845950834
0                         0                        208.7660955384964        0.9997376725972851       1.3761113767429833E-4    6.399729395809572E-4     -0.028824955473851332
0                         0                        206.54305959449036       0.999645225584451        -2.5249315689279683E-4   -3.15891933315271E-4     -0.04876872081817396
0                         0                        207.04328180963108       0.9996709249460384       3.936050497799215E-5     -1.767872709024232E-4    -0.04875827719803283
0                         0                        203.2673918305743        0.9993538275239122       0.0014596124250374487    0.0034014593403917104    -0.1272997284256725
0                         0                        203.67510250784233       0.9994039200633492       0.002431499523353864     0.0018790002999176103    -0.11857962961342494
0                         0                        202.7758103405162        0.9992886196349365       0.004823206422230442     4.97912423387703E-4      -0.1599491719035102
0                         0                        203.0380262801302        0.9993240568570986       9.075681017520765E-4     0.004152605010876442     -0.13229171201280288
0                         0                        205.46800071627075       0.9995784202105532       0.0035183323224714513    8.186908724194808E-5     -0.07607743054066418
0                         0                        205.57217793160692       0.99958621710683         0.0035814832665153062    -2.2554088789483728E-5   -0.07360781975937414
0                         0                        205.17171961949148       0.9995548394261775       0.0033387303729455198    3.7884969893475784E-4    -0.08310102959245569
0                         0                        203.8360371737647        0.9994226966458964       0.0025290561346196228    0.0017176856697962428    -0.11476453449190416
0                         0                        204.64282911690609       0.9995075725176844       0.0030181234679105273    9.089889036388854E-4     -0.0956388353212887
0                         0                        204.88311464594221       0.9995298687915178       0.003163781594480497     6.681360642772916E-4     -0.08994265951974967
0                         0                        204.92816214421524       0.9995338964304352       0.003191088832835476     6.22982209669054E-4      -0.08887476970291175
0                         0                        204.98860167731914       0.9995392246820065       0.0032277265329696547    5.623999797519375E-4     -0.08744199841918032
0                         0                        204.97690542510446       0.9995382003168307       0.0032206364089972794    5.74123846631025E-4      -0.08771926817021836
0                         0                        206.05009418834925       0.9996181782700927       5.953788976036378E-4     -1.2763257421433138E-4   -0.06096439238196183
0                         0                        206.45568286312837       0.9996408698941438       -1.0221022073153563E-4   -2.8252349156332457E-4   -0.050930369292416344
0                         0                        202.61824476900827       0.9992629269704423       0.003932822223767118     0.0016512409530289318    -0.16617111247197291
0                         0                        202.07161997917433       0.9991661942485184       -0.00775564408967        -0.0064839827312388465   -0.16714979476004999
0                         0                        202.23101691675808       0.9991956203694361       0.0017446439464734453    0.004485622380403953     -0.18146194447342934
0                         0                        200.3420338113724        0.9987763315977318       -0.005920718904718569    0.009833000889207355     -0.28366631147871146
0                         0                        200.66013500219336       0.9988631578258835       -0.006258193785839694    0.006832021801210786     -0.26223688320939686
0                         0                        201.5401088709133        0.9990678365924456       -0.0071917617362515784   -0.001469686127183678    -0.20295594543624773
0                         0                        201.88252335194937       0.999133382352497        -0.007555030688429554    -0.004700037746888874    -0.17988861097963849
0                         0                        200.1198458276124        0.9987116414890781       -0.005684998745323355    0.01192913102659432      -0.2986343832673555
0                         0                        201.25090744031195       0.9990063242524843       -0.0068849467313896184   0.0012586514913976998    -0.22243849215819367
