% Model:              ElectrodesShort.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 13 2026, 15:12
% Dimension:          3
% Nodes:              114
% Expressions:        5
% Description:        Electric potential, Electric field, x component, Electric field, y component, Electric field, z component, Electric field norm
% Length unit:        mm
% x                       y                        z                        V (V) @ SL=0.18          es.Ex (V/m) @ SL=0.18    es.Ey (V/m) @ SL=0.18    es.Ez (V/m) @ SL=0.18    es.normE (V/m) @ SL=0.18
-7.62                     -7.62                    74.80138132481042        0.17890391671859257      -2.414880163644214       -2.3819622185139178      -26.46311111057344       26.67961093917498
-7.62                     -7.62                    75.68336013978481        0.2012730459440732       -2.717579227373827       -2.630591698607634       -24.22587291308092       24.519342730639927
-7.62                     -7.62                    76.20143674945537        0.21346191903527859      -2.8472973301630304      -2.7530731013235332      -22.828454048162158      23.16948052539452
-7.62                     -7.62                    77.00879602968853        0.23101358726337448      -3.0494471901377125      -2.943945445862468       -20.650746991125985      21.081254570000148
-7.62                     -7.62                    75.46388463456864        0.19588732780910753      -2.653262311301429       -2.5550801630054396      -24.841448794766002      25.113060621018253
-7.62                     -7.62                    75.0121598948918         0.18442610872768161      -2.481910031288262       -2.4349455560312308      -25.93855283854477       26.17054375862726
-7.62                     -7.62                    75.20473929269515        0.18937550997210953      -2.5473869058194905      -2.4880540994185023      -25.462597034004627      25.710376134270675
-7.62                     -7.62                    77.12597095884709        0.2334107978850047       -3.1770601446432494      -2.968284397339204       -20.1813175240178        20.644369702933435
-7.62                     -7.62                    77.12668485855995        0.23342520462189142      -3.1772093901680876      -2.9683211478131284      -20.17935674744946       20.6424811659442
-7.62                     -7.62                    77.458394432396          0.2399677861158813       -3.246555502189537       -2.9853970533364382      -19.268292702810612      19.766634055297622
-7.62                     -7.62                    82.17940821689041        0.3022461172608088       -4.357087068647522       -3.7144261571928965      -8.263273244321685       10.053002243675113
-7.62                     -7.62                    84.9                     0.3184967213218005       -4.629784071058792       -4.159259764101996       -3.6831011892711434      7.231844626394985
-7.62                     -7.62                    77.4878842933561         0.24052884904540733      -3.2045238464455124      -3.082152241041257       -18.987625842725063      19.50124536184072
-7.62                     -7.62                    79.00086995292382        0.26630748216996813      -3.516250881786803       -3.1064673613566         -15.077125028653434      15.790309017257645
-7.62                     -7.62                    81.85484462271481        0.2994284940367159       -3.602403412245131       -3.3118811330860787      -8.913378683147272       10.168293196669296
-7.62                     -7.62                    81.52732492627347        0.2964324734175578       -3.799001904542969       -3.3828476753786774      -9.381830134588995       10.67215116739911
-7.62                     -7.62                    77.07678008320522        0.2324006854200931       -2.875905538440687       -2.758142131655319       -20.312461124783738      20.699619746031487
-7.62                     -7.62                    80.78557663026241        0.289003062932283        -3.9562391392401537      -2.957359495710314       -11.16544674342829       12.209218005018055
-7.62                     -7.62                    80.78871427537104        0.2890380870079468       -3.959015199825423       -2.959244695018228       -11.159624736221332      12.205251114611501
-7.62                     -7.62                    80.78413093205313        0.2889869191268469       -3.9549600443528306      -2.956490873170331       -11.168129285622229      12.211046596256182
-7.62                     -7.62                    80.75920826607815        0.2887291611471808       -3.6330534310939413      -3.832981358613381       -10.3757428185734        11.642459463783355
-7.62                     -7.62                    81.05494787908242        0.29206446323993573      -4.250719101569494       -3.3361071121961814      -11.06842310088232       12.316988815641553
-7.62                     -7.62                    81.11423673033796        0.2926359449360534       -4.7114985331643595      -3.065038727314459       -9.590177525830853       11.115942866212409
-7.62                     -7.62                    67.77615997242951        -0.025654226362983003    0.15564589476416657      -0.8127692798698689      -25.419397175091788      25.43286402063129
-7.62                     -7.62                    67.42551823951685        -0.03440752772384393     0.2907945758808843       -0.75882720952721        -24.50975815921727       24.52322624049695
-7.62                     -7.62                    67.56543310525986        -0.030953223466173463    0.24486675068150987      -0.7736791260529379      -24.867471906031188      24.880709357108966
-7.62                     -7.62                    67.77192962834698        -0.025761735965265962    0.15737876464813638      -0.812040580424668       -25.408431571490475      25.421891607489254
-7.62                     -7.62                    67.1693992795315         -0.040599536013022144    0.3776997845014848       -0.7243554184135448      -23.83794175344928       23.85193524517954
-7.62                     -7.62                    66.97795674011118        -0.04510908217025098     0.44906846895171526      -0.6889953532295721      -23.31126130184122       23.325764308362942
-7.62                     -7.62                    66.66979602678018        -0.05217103790056335     0.5690136235523617       -0.6425040166096103      -22.484425844503015      22.500799840719058
-7.62                     -7.62                    65.1986923927106         -0.08222146916186288     1.020656759668432        -0.5741881759706899      -18.40262411862003       18.439848338142507
-7.62                     -7.62                    65.40176542496224        -0.0784238521436586      0.9586038192220758       -0.6168960674969242      -18.991207218712535      19.025389185622444
-7.62                     -7.62                    65.13721387966949        -0.0833476098524751      1.033830459843312        -0.5591234466386013      -18.23263704520119       18.270481057441366
-7.62                     -7.62                    64.97440691526629        -0.08627936566786804     1.0934000462218645       -0.5149623873987408      -17.663020406744863      17.704321500995142
