% Model:              ElectrodesShort.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 27 2026, 14:50
% Dimension:          3
% Nodes:              84
% Expressions:        5
% Description:        Electric potential, Electric field, x component, Electric field, y component, Electric field, z component, Electric field norm
% Length unit:        mm
% x                       y                        z                        V (V) @ TT1=0            es.Ex (V/m) @ TT1=0      es.Ey (V/m) @ TT1=0      es.Ez (V/m) @ TT1=0      es.normE (V/m) @ TT1=0
0                         0                        68.48544107570018        0.19613353323518737      0.45497156020161356      -0.9277304417251457      -43.16035796087516       43.17272498006091
0                         0                        68.25                    0.18592451302716187      0.4644819419875148       -0.9617053464473884      -43.56036164511602       43.573452093001684
0                         0                        65.03249789673897        0.04398658599333017      0.549756360150127        -1.2946969238901858      -42.52679393140047       42.55004905125323
0                         0                        65.25                    0.05328403226884437      0.5466582684336883       -1.2679327255365358      -42.96386813330918       42.98604952348277
0                         0                        67.75                    0.16395852171805597      0.4873970057949464       -1.0209730283139038      -44.24606750957105       44.260529050467994
0                         0                        67.85585985991392        0.1686364573270573       0.48434727157848556      -1.0064834639479159      -44.132142099746034      44.14627467357651
0                         0                        67.87968817037817        0.1696877027130501       0.48337691309097863      -1.0041326453936676      -44.101882393767596      44.11596044838379
0                         0                        67.9271036004979         0.17177734632630734      0.4811246136698628       -0.9994466968516633      -44.040041363146116      44.05400796592006
0                         0                        67.96402479847448        0.17340249049371376      0.47811635190635116      -0.9946989434310467      -43.99188052911393       44.00572205659005
0                         0                        67.99801785102783        0.17489715602470018      0.47663986847093653      -0.9896233451345453      -43.94761228463314       43.96133716630886
0                         0                        68.02238403632089        0.17596760529162253      0.47560212661619516      -0.9859586585216533      -43.915896430221125      43.929537570170986
0                         0                        65.5900065516046         0.06800711055716083      0.543994464828927        -1.2429058796615635      -43.60414138355563       43.62524373342308
0                         0                        65.75                    0.07500408690130467      0.5389376265958674       -1.2250617083809061      -43.853323362555756      43.87374157620456
0                         0                        65.53122125310787        0.06544663193726694      0.5441186760802701       -1.2498299982164802      -43.508627203197925      43.529975663500615
0                         0                        65.5791845139682         0.06753532253618727      0.5438705736153224       -1.244215213083578       -43.58681049035849       43.60795701955938
0                         0                        65.52862418286888        0.06533364247363185      0.5432052348414693       -1.2497963980392788      -43.513742444994534      43.53507602535029
0                         0                        67.48542268509908        0.1522177494049117       0.495957625381346        -1.0492115806842293      -44.487549924790855      44.50268438215806
0                         0                        67.54523069528763        0.1548771053174167       0.4953466887032931       -1.042678776137251       -44.44229939191024       44.45728874563092
0                         0                        67.3978788967498         0.14832022314337862      0.5009794956043301       -1.0607490624916167      -44.5542047222122        44.56964580807647
0                         0                        67.43613277788938        0.15002403730287628      0.49878509631889756      -1.0557075459428127      -44.525078672883055      44.540385447605814
0                         0                        66.82849431359998        0.12289139388885566      0.5199307580503323       -1.1376491060786975      -44.710028712776186      44.727522186892934
0                         0                        67.03790780024401        0.13225269436493264      0.5055721139602145       -1.1023468100909213      -44.69491483786763       44.7113652667459
0                         0                        67.09468782017824        0.13479035617952692      0.5138614562987271       -1.0864518129282033      -44.6798065129837        44.69596784023974
0                         0                        67.09907059384635        0.13498617625641224      0.5134045966299823       -1.0856586506781127      -44.67916646317957       44.69530349857961
0                         0                        66.8194001541784         0.12248497555885395      0.523239972160809        -1.1245847565296643      -44.68996369881032       44.70717309721192
0                         0                        66.59413760181216        0.11242006601063158      0.5302749466081593       -1.1486402967638014      -44.64910321509933       44.667023450896565
0                         0                        66.60201094673964        0.1127716123520329       0.5299446862738932       -1.1481560633262688      -44.65127537612409       44.66917837201316
0                         0                        66.59259389794204        0.11235114134592353      0.5303396997920373       -1.1487352390072942      -44.64867732579671       44.666600942870346
0                         0                        66.5545787740612         0.11065447787014865      0.5263298699006831       -1.149090237245872       -44.6260685392472        44.64396291521253
0                         0                        66.54074822221668        0.11003732583473558      0.5275547051547957       -1.1500534296710612      -44.61867633441423       44.63661293930405
0                         0                        66.81404900121441        0.12224577906678723      0.522761895007072        -1.113894151242505       -44.711523192000946      44.72845119527259
0                         0                        66.79237712219805        0.12127686296910735      0.5235065131122738       -1.1171784217787604      -44.705374802692134      44.72239576481273
0                         0                        67.3278904751468         0.14520086939201948      0.5039799487230994       -1.071541876503808       -44.588523312529446      44.604244293270995
0                         0                        67.33742476404225        0.1456259636167606       0.5032543576021453       -1.070359402389947       -44.5831452623363        44.598831550628205
0                         0                        67.21984609668398        0.14038011154566435      0.5090387502145006       -1.080870538395999       -44.6433613146591        44.65934517031338
0                         0                        67.17020495468815        0.13816339280269904      0.502895583710538        -1.0859787030832138      -44.657829367215356      44.67386235264406
0                         0                        67.14100454131878        0.1368592031480855       0.5052926678798171       -1.089572702796147       -44.668964614527226      44.68510813558335
0                         0                        67.58579704305832        0.15667926827485312      0.4933218270784323       -1.0419689350010586      -44.4148075564822        44.429767003282016
0                         0                        67.56971177080956        0.15596483446423304      0.4950212551459856       -1.040203192261771       -44.42245609089176       44.43739049349595
0                         0                        67.5747026558242         0.15618653090882612      0.4948412218635383       -1.0394979807265656      -44.41807777954057       44.43299514455565
0                         0                        66.17807875077825        0.09389517110196377      0.5341941359543512       -1.1902832045210232      -44.36293276282272       44.38211284741391
0                         0                        66.20445439291339        0.09506559481779236      0.5364634896105258       -1.1895035217453085      -44.39189581761414       44.41106985860437
0                         0                        66.17543014638048        0.09377767449900823      0.5330870457359183       -1.1947389021762547      -44.37123656424575       44.3905194504746
0                         0                        66.31581789039043        0.10001506926839507      0.5379441788811476       -1.1794273705573914      -44.481890681145444      44.500775627300996
0                         0                        66.28166689211558        0.09849635857188754      0.5260919208119006       -1.171094666462551       -44.46151870254769       44.48005036827138
0                         0                        66.22259752085938        0.09587114254987111      0.5225159095217577       -1.1699585390245488      -44.42434434922143       44.442819405579364
0                         0                        66.07951135466386        0.08952672597746361      0.5342484011466553       -1.1981437168491382      -44.26733965724094       44.28677375977944
0                         0                        66.15949648494716        0.09307084498026971      0.5297699151082327       -1.1932656897378422      -44.35210723879055       44.371319066379314
0                         0                        66.17382812807128        0.09370659239150972      0.5289674651605765       -1.1923916504821008      -44.367295796000974      44.38646799056198
0                         0                        65.96771232869258        0.08458425657212203      0.5359086276112146       -1.209767255166296       -44.143394141616156      44.16321977857697
0                         0                        65.96864039880491        0.08462522523839835      0.5358531318604642       -1.209675180227003       -44.14447491553716       44.16429687189723
0                         0                        65.93139359838851        0.0829817925883271       0.5373017111532334       -1.2137002383813744      -44.107578671082244      44.12754533874691
