% Model:              ElectrodesShort.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 23 2026, 09:43
% Dimension:          3
% Nodes:              84
% Expressions:        5
% Description:        Electric potential, Electric field, x component, Electric field, y component, Electric field, z component, Electric field norm
% Length unit:        mm
% x                       y                        z                        V (V) @ W=0.014          es.Ex (V/m) @ W=0.014    es.Ey (V/m) @ W=0.014    es.Ez (V/m) @ W=0.014    es.normE (V/m) @ W=0.014
0                         0                        70.46735631795454        0.24559117125042879      -0.17503484003297842     -0.11265209114083774     -34.21647466131907       34.217107796211444
0                         0                        70.5629270247433         0.24884455910486408      -0.1748980921018699      -0.10538573756681302     -33.92648187616605       33.927096368391545
0                         0                        70.83220258575176        0.2578357670400223       -0.18188987349870445     -0.1568849732865516      -32.84652405547324       32.847402322675485
0                         0                        71.11983101349065        0.2671223754193257       -0.15654641627287447     -0.15844880532230832     -31.72712363510935       31.72790549282871
0                         0                        71.65123820670641        0.28341994206487264      -0.11752794186553928     -0.17233260977340592     -29.593041633575666      29.59377678621053
0                         0                        71.99332396610063        0.29331626693319646      -0.14135990157667067     -0.15038639166051837     -28.261819476190105      28.262573109915678
0                         0                        72.00000000000001        0.2935048568249672       -0.14177492999854735     -0.14991812499503965     -28.235764153078108      28.23651807293578
0                         0                        63.56481903362121        -0.02579663906251661     0.2999265117440304       0.1298944904169347       -34.98373722660592       34.985264024033036
0                         0                        63.26042517374425        -0.03625323881676578     0.3412674390510979       0.14132994875442684      -33.763521474243795      33.76554190237576
0                         0                        63.31873890462751        -0.03427783255132441     0.33669590882051637      0.13908298909106165      -33.98863017691473       33.99058236506033
0                         0                        63.02347592841223        -0.04414567456409608     0.3858098841454023       0.16502789652611227      -32.84295436951384       32.845634948822415
0                         0                        62.82035630107775        -0.050737555080527214    0.4034304352549043       0.1652575292381826       -32.06343210761557       32.06639587928043
0                         0                        62.61261231784328        -0.05731586126585452     0.43846703712034696      0.1683282106561137       -31.244043996817872      31.24757387389035
0                         0                        62                       -0.07569350127773063     0.32734442575597456      0.29456567718931836      -28.811497541504977      28.81486272560393
0                         0                        62.04877323357397        -0.07428347087128039     0.3222709693296011       0.2964956937558725       -29.008347612367384      29.01165282216835
0                         0                        62.23242120484773        -0.06889822087217119     0.4331434863856849       0.1559342615825905       -29.695337365142237      29.698905535446023
0                         0                        68.25                    0.1617578513223068       -0.08481994395900312     -0.020373668137513984    -40.656153458780864      40.65624704240648
0                         0                        68.48544107570018        0.17127973302291113      -0.10260899082683039     -0.037599746196534056    -40.22725163870973       40.22740007445158
0                         0                        65.03249789673897        0.029036455133290423     0.1980589505915944       0.10416615010702657      -39.51841706258268       39.51905065999136
0                         0                        65.25                    0.03768461146081685      0.1742936034243078       0.09008655213201441      -40.00011750840598       40.00059867718677
0                         0                        67.75                    0.14122743624566383      -0.05076142471557432     0.0032904953823098826    -41.399168054894574      41.3991993061098
0                         0                        67.85585985991392        0.14560370140438259      -0.058278917623511006    -0.005053682217749156    -41.2776559709647        41.27769742160118
0                         0                        67.87968817037817        0.14658689046791581      -0.05946288749294126     -0.006654248612164793    -41.24434805879491       41.244391460040156
0                         0                        67.9271036004979         0.1485409371010544       -0.06406675957941843     -0.009460490736159954    -41.17907604407381       41.17912696857695
0                         0                        67.99801785102783        0.1514574934425499       -0.07048409102845898     -0.012592523951232337    -41.077456171356715      41.077518572675245
0                         0                        68.02238403632089        0.15245797495640373      -0.06816099514267648     -0.012619233326205404    -41.05085819604429       41.050916722992255
0                         0                        67.96402479847448        0.15006032905700448      -0.06801962986119747     -0.011903978759612244    -41.125481229041924      41.12553920248386
0                         0                        65.5900065516046         0.051407517162519054     0.14607742307144633      0.09084188685383765      -40.68725902083136       40.687622657144296
0                         0                        65.75                    0.05793956259235384      0.12438103264632289      0.08108689149281645      -40.953054560684734      40.953323718297575
0                         0                        65.5791845139682         0.05096730385662882      0.14673044736689178      0.09075506590069438      -40.66858009818063       40.668946058489205
0                         0                        65.53122125310787        0.049018735714791775     0.15100161538037682      0.09104901886553307      -40.58394972923586       40.58433277801703
0                         0                        65.52862418286888        0.04891334229728937      0.15028558747433962      0.09140999954767626      -40.588921879666174      40.589303035399155
0                         0                        67.09907059384635        0.1140931291648052       0.002570360492566648     0.03329953305684796      -41.86019172481187       41.86020504851431
0                         0                        67.14100454131878        0.11584822172154105      -0.005182270142773504    0.029459476029359166     -41.85704939761342       41.8570600853775
