Cs Rydberg State (n), Distance (um), Rb-Cs Energy Shift (GHz), Na-Cs Energy Shift (GHz), Rb-Rb Energy Shift (GHz), Na-Na Energy Shift (GHz), Cs-Cs Energy Shift (GHz)
64, 7, -0.0352887680564751, -0.03651012817051771, 0.0030618686827126223, 0.0025972052024026268, 0.0018849571349928431
64, 8, -0.019461604134547263, -0.019176292475099076, 0.0013751795830848903, 0.0011669560227470588, 0.0008466515466753583
64, 9, -0.010914223035012096, -0.010294352934816382, 0.0006785485233336749, 0.0005759027273307102, 0.00041777294897603703
64, 10, -0.006263509589459465, -0.005722765603591979, 0.0003606637440830441, 0.00030612929167002714, 0.0002220603045281061
64, 11, -0.0036981029866042553, -0.0033095850679593017, 0.0002036037380324361, 0.0001728248551264931, 0.0001253610770678154
64, 12, -0.0022523430566211066, -0.001990033356074614, 0.00012080498668084267, 0.00010254549092201623, 7.438277752158922e-05
64, 13, -0.0014151146512504389, -0.001240545353562401, 7.473829897697522e-05, 6.344299463878096e-05, 4.601986794049653e-05
64, 14, -0.0009156857048230695, -0.000798859046215825, 4.791514227807721e-05, 4.067446429355219e-05, 2.9505006075093116e-05
65, 5, -0.1393871535184044, -0.13031137586282404, 0.02726518992946145, 0.023335080892650923, 0.016906421001730725
65, 6, -0.07924892012055028, -0.07955737398156598, 0.009206875103398094, 0.007916075599897389, 0.00571323920494714
65, 7, -0.04526315908207899, -0.044064755612134576, 0.003660500197430186, 0.003151924149769927, 0.002272015532466543
65, 8, -0.0267060936413093, -0.02405454785681738, 0.0016443477398204378, 0.0014166544106887446, 0.0010207088416237036
65, 9, -0.016004380558820655, -0.013279116795538299, 0.0008114243134852475, 0.000699223681108319, 0.0005037011589592042
65, 10, -0.009727219374669157, -0.0075174489226559876, 0.0004313044309017676, 0.00037170409009805563, 0.00026774329956444327
65, 11, -0.0060027915453391735, -0.004395883167089562, 0.00024348555220405737, 0.0002098504456261537, 0.00015115274216664907
65, 12, -0.0037723736734511966, -0.0026606817484522843, 0.00014446874193564606, 0.00012451571623388883, 8.968627447241219e-05
65, 13, -0.0024206841371703577, -0.0016651445865657778, 8.937803861014234e-05, 7.703543454101488e-05, 5.5487508972575104e-05
65, 14, -0.001588272439406855, -0.0010748441303392372, 5.730022818993174e-05, 4.93883131319588e-05, 3.557443047333232e-05
66, 5, -0.15715137636074056, -0.13616327157859645, 0.031797015433811006, 0.02809530825763611, 0.020247148422805443
66, 6, -0.09327332046877823, -0.08970972892597946, 0.0107541951491479, 0.009563261681218654, 0.006857415936210826
66, 7, -0.05618727919907203, -0.05214300213753542, 0.004277802949188317, 0.0038119542112332074, 0.0027289331213228335
66, 8, -0.035359468729801134, -0.02963247779614427, 0.0019219951089941608, 0.0017140028192709044, 0.0012262932418999487
66, 9, -0.022815769759358385, -0.016894974766503416, 0.0009485030312303412, 0.0008461285999176279, 0.0006052165183517698
66, 10, -0.015009209236595296, -0.009789542154273755, 0.0005041836778496716, 0.0004498317699819933, 0.000321718638827361
66, 11, -0.010006968852501744, -0.005813079583036178, 0.0002846323574449065, 0.00025396723085228744, 0.00018162764670577028
66, 12, -0.006739275048846511, -0.0035525828587895866, 0.00016888343901931883, 0.00015069478912869288, 0.00010776906043204922
66, 13, -0.0045799660399707285, -0.0022366323049021076, 0.00010448247841347987, 9.323215659421357e-05, 6.667474877440392e-05
66, 14, -0.0031428581901337205, -0.0014490937582170437, 6.698326572576613e-05, 5.977185524375636e-05, 4.2746301282658354e-05
67, 5, 0.43856098248045977, -0.10720656264242465, 0.03805705118351036, 0.06622273923550405, 0.023732530535817566
67, 6, 0.0873123667546723, -0.08621301506649372, 0.012899419899070461, 0.023233099551593847, 0.008059051689584693
67, 7, 0.06115681673714047, -0.060111710097257874, 0.005134642526877355, 0.009358616981720911, 0.003209802235908046
67, 8, -0.044903213966453054, -0.04098702067347678, 0.0023075464117929432, 0.004224805883700576, 0.001442820810208378
67, 9, -0.031009301419052077, -0.028041120080089323, 0.0011388896412123494, 0.002089092759262389, 0.0007121696131895382
67, 10, -0.02216602202741252, -0.019366214301515576, 0.0006054128771768841, 0.0011114841554586861, 0.00037859349664646206
67, 11, -0.016292088082785056, -0.013516073708317587, 0.00034178754211873394, 0.0006277579754914345, 0.0002137419586093234
67, 12, -0.012244010829337052, -0.009529964788416365, 0.00020279752582220742, 0.00037255756801764, 0.0001268253406105809
67, 13, -0.009366789128163971, -0.006783759113047621, 0.0001254640769013389, 0.00023051493953827313, 7.846450781069268e-05
67, 14, -0.007268369325229986, -0.004871489968570725, 8.043407983700766e-05, 0.0001477892900931442, 5.030452588184714e-05
68, 5, 0.16309600213288766, -0.10527863363308389, 0.05368412482651301, 0.07751809231679573, 0.027922186051857596
68, 6, -0.11285136852320796, -0.09312280039138954, 0.018313589973081527, 0.027456664237833328, 0.009511134911817029
68, 7, -0.06796272170784097, -0.06899916614417527, 0.007304818522031576, 0.011099824365793796, 0.0037918933571753793
68, 8, -0.041546004962297205, -0.050158876227848065, 0.003285335077069663, 0.005017916915297657, 0.0017050938432706295
68, 9, -0.025970303935950897, -0.03704897501753227, 0.00162198739880212, 0.002482760090960131, 0.0008417528513799788
68, 10, -0.0165066828564046, -0.02814137110075236, 0.0008623413908767464, 0.001321296890917188, 0.00044751082986325323
68, 11, -0.010625995662329527, -0.022165686018149135, 0.00048687019993847466, 0.0007463606628848361, 0.0002526583734152082
68, 12, -0.0069219631793787754, -0.01826819413586464, 0.0002888905869692083, 0.00044297659879062487, 0.000149918645162042
68, 13, -0.0045682958217482614, 0.016762631948251595, 0.0001787291175297359, 0.0002740961682120832, 9.27521490368109e-05
68, 14, -0.0030601278879952357, -0.004647386345554192, 0.00011458177424947239, 0.00017573386101979953, 5.9464196529920964e-05
69, 5, -0.3763778812346137, -0.10098375761482097, 0.06308835718539756, 0.09026532375123082, 0.03336498876499966
69, 6, -0.12957214446749665, -0.09874211179093388, 0.021610765667023055, 0.032322077262176355, 0.01140717795224542
69, 7, -0.0819869861273648, -0.07733208712677303, 0.008631561092663546, 0.013122900360646898, 0.0045532531215082
69, 8, -0.05315431776520752, -0.059394173911869255, 0.003883966026822531, 0.005942635043613676, 0.0020483597540392126
69, 9, -0.03574123214413752, 0.0414075203108259, 0.001917930409296515, 0.0029424432494872307, 0.0010113982540950989
69, 10, -0.024761139997562808, 0.02776239842403878, 0.0010197773236889345, 0.001566465736637116, 0.0005377458332134654
69, 11, -0.0175432656963251, 0.01916058047723167, 0.0005757832862440951, 0.0008849978258922333, 0.000303615602048181
69, 12, -0.012634598175570028, 0.013494029059303012, 0.00034165599006872, 0.0005253061069707138, 0.00018015803297798122
69, 13, -0.009207639308067245, 0.009640423201248657, 0.00021137591512089904, 0.0003250538616213116, 0.00011146134854609823
69, 14, -0.006768180495536387, 0.006959883685529879, 0.0001355117986869137, 0.0002084102357470731, 7.14586108682003e-05
70, 5, 0.4478003251900151, -0.09447410265214504, 0.0536841248265131, 0.10454779604858126, 0.03973246515359484
