Cs Rydberg State (n), Rb-Cs Energy Shift (GHz), Na-Cs Energy Shift (GHz)
57, 0.000829068465663051, 0.0046705762619819145
57, 0.010235065981645685, 0.007811442986912988
57, 0.0036903133455110974, -0.0006166881683968326
57, 0.007586921325997443, -0.004630905961802444
57, -0.002890012356543691, -0.00160249898319832
57, 0.009944313455149636, -0.0009729834148231795
57, -0.001711797085221713, -0.0007140053892543069
57, -0.0010303192839506037, -0.0005733274425374765
57, -0.000747621866796878, -0.0004838518496315485
58, -0.0006076136330363384, -0.00787704709437862
58, -0.0018932463246762793, -0.007820219024185386
58, 0.00042910676488703046, 0.005777878106315944
58, 0.011679336903784877, 0.009537070828600726
58, 0.004561515046212787, -0.0010539167060284003
58, 0.009204007191424538, -0.006181106961934018
58, -0.004351693197822828, -0.002060755274236585
58, 0.0017784966337273515, -0.0012288813329022548
58, -0.0021919745757751296, -0.0008966609913879307
58, -0.0013068313746489805, -0.0007171564383293282
58, -0.0009406355004431947, -0.0006005128155680681
59, -0.0007833777902460702, -0.01255679742135802
59, -0.002556704972585052, -0.010354403879721058
59, -0.00010155796062010042, 0.0071189039741928395
59, 0.013330607800743355, 0.011604503928100586
59, 0.005615194382604537, -0.0016675102553012277
59, 0.01115080987011538, -0.00823521014152136
59, -0.00692593069244697, -0.0026594874565445755
59, -0.0014910138650502827, -0.001550064405306763
59, -0.002799089254419731, -0.001122015705895092
59, -0.0016499617930551705, -0.0008900184963840791
59, -0.0011791230857845015, -0.0007489167634336177
60, -0.0010059167116539182, -0.02077859787473501
60, -0.003480853530642642, -0.013574510897487516
60, -0.0008245312475526967, 0.008737110233483317
60, 0.015207374662466518, 0.0140750767262501
60, 0.0068858100222688404, -0.001912835223003468
60, 0.013484323858725358, -0.010962576351192755
60, -0.009178712325967384, -0.0034722979670835756
60, -0.004180074095154773, -0.001945485371946436
60, -0.0035652355321016045, -0.0013994478933409037
60, -0.0020069588246209853, -0.0011035119805483957
60, -0.0014728373398136905, -0.000927223711690227
61, -0.001286667548985369, -0.0345417003443647
